id_exercise|DateTime_Start|DateTime_End|n_poses|n_sets|n_reps|total_poses|seconds_rest_time|Class|Prob|count_pose_g|count_pose|count_rep|count_set|right_elbow_angles_pu|right_hip_angles_pu|right_knee_angles_pu|right_shoulder_angles_cu|right_hip_angles_cu|right_knee_angles_cu|right_shoulder_angles_fp|right_hip_angles_fp|right_ankle_angles_fp|right_hip_angles_fl|right_knee_angles_fl|left_knee_angles_fl|right_shoulder_angles_bd|right_hip_angles_bd|right_knee_angles_bd|left_knee_angles_bd|right_elbow_angles_bd|left_elbow_angles_bd|pose_trainer_cost_min|pose_trainer_cost_max|pose_user_cost
push_up|2023-06-10 10:52:24.074|2023-06-10 10:52:27.290|3|1|1|3|1|push_up|30.0|1|1|1|1|158|173|179||||||||||||||||0|99|72.8792
push_up|2023-06-10 10:52:27.290|2023-06-10 10:55:24.862|3|1|1|3|1|push_up|24.0|2|2|1|1|62|173|178||||||||||||||||0|99|68.671
push_up|2023-06-10 10:55:24.862|2023-06-10 10:55:25.553|3|1|1|3|1|push_up|33.0|3|3|1|1|168|174|177||||||||||||||||0|99|59.238
