id_exercise|DateTime_Start|DateTime_End|n_poses|n_sets|n_reps|total_poses|seconds_rest_time|Class|Prob|count_pose_g|count_pose|count_rep|count_set|right_elbow_angles_pu|right_hip_angles_pu|right_knee_angles_pu|right_shoulder_angles_cu|right_hip_angles_cu|right_knee_angles_cu|right_shoulder_angles_fp|right_hip_angles_fp|right_ankle_angles_fp|right_hip_angles_fl|right_knee_angles_fl|left_knee_angles_fl|right_shoulder_angles_bd|right_hip_angles_bd|right_knee_angles_bd|left_knee_angles_bd|right_elbow_angles_bd|left_elbow_angles_bd|pose_trainer_cost_min|pose_trainer_cost_max|pose_user_cost
push_up|2023-06-04 20:47:43.985|2023-06-04 20:47:51.628|3|1|1|3|1|push_up|33.0|1|1|1|1|160|174|176||||||||||||||||0|99|59.4669
push_up|2023-06-04 20:47:51.628|2023-06-04 20:48:24.421|3|1|1|3|1|push_up|31.0|2|2|1|1|102|177|179||||||||||||||||0|99|64.624
push_up|2023-06-04 20:48:24.421|2023-06-04 20:48:48.829|3|1|1|3|1|push_up|32.0|3|3|1|1|170|174|179||||||||||||||||0|99|48.5537
